month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,date,sentiment,observation_date,INDPRO,publication_Business Insider,publication_Buzzfeed News,publication_CNBC,publication_CNN,publication_Economist,publication_Fox News,publication_Gizmodo,publication_Hyperallergic,publication_Mashable,publication_New Republic,publication_New Yorker,publication_People,publication_Politico,publication_Refinery 29,publication_Reuters,publication_TMZ,publication_TechCrunch,publication_The Hill,publication_The New York Times,publication_The Verge,publication_Vice,publication_Vice News,publication_Vox,publication_Washington Post,publication_Wired
2016-01-01,0.0192307692307692,0.1538461538461538,0.0961538461538461,0.1538461538461538,0.2692307692307692,0.0769230769230769,0.0769230769230769,0.1346153846153846,0.0192307692307692,0.0,2016-01-31,-0.3323657474596047,2016-01-01,99.4391,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.0504201680672268,0.0588235294117647,0.0168067226890756,0.1428571428571428,0.5798319327731093,0.0084033613445378,0.0672268907563025,0.0588235294117647,0.0168067226890756,0.0,2016-01-31,-0.3597597597595436,2016-01-01,99.4391,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.4269662921348314,0.0730337078651685,0.0786516853932584,0.0056179775280898,0.0617977528089887,0.1235955056179775,0.2022471910112359,0.0224719101123595,0.0056179775280898,0.0,2016-01-31,-0.4536340852128904,2016-01-01,99.4391,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.0721153846153846,0.1826923076923076,0.0432692307692307,0.0721153846153846,0.2403846153846154,0.1009615384615384,0.2067307692307692,0.048076923076923,0.0336538461538461,0.0,2016-01-31,-0.4493644936448442,2016-01-01,99.4391,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.009090909090909,0.3727272727272727,0.0484848484848484,0.3,0.0424242424242424,0.0151515151515151,0.006060606060606,0.203030303030303,0.003030303030303,0.0,2016-01-31,-0.1711229946523301,2016-01-01,99.4391,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.0,0.9790575916230366,0.0104712041884816,0.0,0.0,0.0,0.0052356020942408,0.0052356020942408,0.0,0.0,2016-01-31,-0.2978036175709632,2016-01-01,99.4391,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.0670731707317073,0.2103658536585365,0.3079268292682927,0.1524390243902439,0.0304878048780487,0.073170731707317,0.0426829268292682,0.0762195121951219,0.0396341463414634,0.0,2016-01-31,-0.2024062278838632,2016-01-01,99.4391,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.4675767918088737,0.0921501706484641,0.1689419795221843,0.0187713310580204,0.0426621160409556,0.1040955631399317,0.046075085324232,0.0102389078498293,0.0494880546075085,0.0,2016-01-31,-0.4154595564670663,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.0652173913043478,0.5652173913043478,0.25,0.0108695652173913,0.0217391304347826,0.0543478260869565,0.0217391304347826,0.0,0.0108695652173913,0.0,2016-01-31,-0.4153705397986241,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.0294117647058823,0.0931372549019607,0.6666666666666666,0.0098039215686274,0.0,0.1764705882352941,0.0049019607843137,0.0,0.0196078431372549,0.0,2016-01-31,-0.2862926547135417,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.8717948717948718,0.0085470085470085,0.0,0.0085470085470085,0.0085470085470085,0.0256410256410256,0.0683760683760683,0.0042735042735042,0.0042735042735042,0.0,2016-01-31,-0.4707952146374687,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.0440251572327044,0.1886792452830188,0.5911949685534591,0.0628930817610062,0.0125786163522012,0.0754716981132075,0.0188679245283018,0.0062893081761006,0.0,0.0,2016-01-31,-0.1994198694704863,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.032258064516129,0.0258064516129032,0.0193548387096774,0.0580645161290322,0.4903225806451612,0.0580645161290322,0.1935483870967742,0.0451612903225806,0.0774193548387096,0.0,2016-01-31,-0.4996628455829402,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.0149253731343283,0.0497512437810945,0.5522388059701493,0.0049751243781094,0.0049751243781094,0.1791044776119403,0.0099502487562189,0.0049751243781094,0.1791044776119403,0.0,2016-01-31,-0.6165289256188157,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-01-01,0.0,0.0412371134020618,0.0309278350515463,0.7010309278350515,0.0927835051546391,0.0051546391752577,0.0,0.1185567010309278,0.0103092783505154,0.0,2016-01-31,-0.0086313193588127,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-01-01,0.6172839506172839,0.0185185185185185,0.0,0.0555555555555555,0.0864197530864197,0.0617283950617283,0.0987654320987654,0.0185185185185185,0.0,0.0432098765432098,2016-01-31,-0.4538893344023841,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-01-01,0.1700404858299595,0.1619433198380566,0.1538461538461538,0.0323886639676113,0.097165991902834,0.097165991902834,0.1417004048582996,0.020242914979757,0.1255060728744939,0.0,2016-01-31,-0.412981298129722,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-01-01,0.0114942528735632,0.0383141762452107,0.21455938697318,0.5325670498084292,0.0153256704980842,0.0114942528735632,0.0114942528735632,0.1647509578544061,0.0,0.0,2016-01-31,-0.1023550724637217,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-01-01,0.023728813559322,0.3186440677966101,0.2745762711864407,0.0915254237288135,0.0271186440677966,0.0644067796610169,0.023728813559322,0.0372881355932203,0.1389830508474576,0.0,2016-01-31,-0.2908265213441797,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-01-01,0.0967741935483871,0.0293255131964809,0.0175953079178885,0.0175953079178885,0.1407624633431085,0.2639296187683284,0.4193548387096774,0.0146627565982404,0.0,0.0,2016-01-31,-0.7047128129601707,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-01-01,0.2320675105485232,0.0717299578059071,0.1561181434599156,0.2573839662447257,0.0759493670886076,0.080168776371308,0.050632911392405,0.0421940928270042,0.0126582278481012,0.0210970464135021,2016-01-31,-0.384615384615304,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-01-01,0.0390070921985815,0.1950354609929078,0.1524822695035461,0.4113475177304964,0.0390070921985815,0.0106382978723404,0.0106382978723404,0.1241134751773049,0.0177304964539007,0.0,2016-01-31,-0.2941176470587112,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-02-01,0.1509433962264151,0.1132075471698113,0.1320754716981132,0.1132075471698113,0.2075471698113207,0.0188679245283018,0.0943396226415094,0.0754716981132075,0.0943396226415094,0.0,2016-02-29,-0.3452685421990469,2016-02-01,98.9232,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-01,0.3626373626373626,0.0659340659340659,0.0659340659340659,0.1098901098901098,0.0879120879120879,0.1978021978021978,0.1098901098901098,0.0,0.0,0.0,2016-02-29,-0.3976210705180978,2016-02-01,98.9232,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-01,0.0594059405940594,0.0792079207920792,0.0396039603960396,0.1386138613861386,0.6435643564356436,0.0,0.0,0.0297029702970297,0.0099009900990099,0.0,2016-02-29,-0.3875530410181135,2016-02-01,98.9232,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-01,0.4157303370786517,0.1067415730337078,0.1292134831460674,0.0,0.0674157303370786,0.1348314606741573,0.1011235955056179,0.0337078651685393,0.0112359550561797,0.0,2016-02-29,-0.4342840341074877,2016-02-01,98.9232,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-01,0.1560693641618497,0.1734104046242774,0.0115606936416184,0.0751445086705202,0.3063583815028902,0.0693641618497109,0.1676300578034682,0.0173410404624277,0.0231213872832369,0.0,2016-02-29,-0.5019526763150696,2016-02-01,98.9232,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
