month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,date,sentiment,observation_date,INDPRO,publication_Buzzfeed News,publication_CNBC,publication_CNN,publication_Economist,publication_Fox News,publication_Gizmodo,publication_Hyperallergic,publication_Mashable,publication_New Republic,publication_New Yorker,publication_Politico,publication_Reuters,publication_The Hill,publication_The Verge,publication_Vice News,publication_Washington Post,publication_Wired
2016-01-01,0.40957075,0.2507057,0.25661224,0.18539251,0.21568072,0.18698695,0.22474551,0.20329191,0.1550014,0.23623401,2016-01-31,-0.3597597597595436,2016-01-01,99.4391,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.19625321,0.25009793,0.3287994,0.27340472,0.36097422,0.22497594,0.29226345,0.3555833,0.30855957,0.33055943,2016-01-31,-0.4536340852128904,2016-01-01,99.4391,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.25355256,0.23277204,0.263605,0.21152204,0.24678428,0.2507482,0.24452469,0.22626255,0.20019633,0.30656976,2016-01-31,-0.4493644936448442,2016-01-01,99.4391,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.20898533,0.35455364,0.30035535,0.2418325,0.19269435,0.26444885,0.31250852,0.21067472,0.2011852,0.286726,2016-01-31,-0.1711229946523301,2016-01-01,99.4391,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.24028002,0.30826855,0.33088714,0.30695817,0.20422997,0.5829295,0.3187275,0.18391922,0.20221141,0.25189376,2016-01-31,-0.2978036175709632,2016-01-01,99.4391,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.17919199,0.2675395,0.26821858,0.2898542,0.2038143,0.26880133,0.3290159,0.20563702,0.2239564,0.2604799,2016-01-31,-0.2024062278838632,2016-01-01,99.4391,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-01-01,0.21088229,0.2381859,0.3167324,0.2756862,0.38442826,0.25666183,0.32211447,0.35362434,0.28782204,0.29383686,2016-01-31,-0.4154595564670663,2016-01-01,99.4391,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-01-01,0.19544648,0.23794684,0.25118163,0.33923936,0.22612207,0.36973113,0.3541654,0.20860119,0.25642064,0.28685436,2016-01-31,-0.4153705397986241,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-01-01,0.20096678,0.21833323,0.30370918,0.23735723,0.48943684,0.19657318,0.25077674,0.42802647,0.289784,0.28100607,2016-01-31,-0.4707952146374687,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-01-01,0.3160554,0.19380917,0.2129552,0.15904246,0.1646451,0.1672064,0.16661182,0.17720212,0.18792836,0.24507087,2016-01-31,-0.4996628455829402,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
