month,INDPRO,IPI_predicted,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,sentiment,publication_Business Insider,publication_Buzzfeed News,publication_CNBC,publication_CNN,publication_Economist,publication_Fox News,publication_Gizmodo,publication_Hyperallergic,publication_Mashable,publication_New Republic,publication_New Yorker,publication_People,publication_Politico,publication_Refinery 29,publication_Reuters,publication_TMZ,publication_TechCrunch,publication_The Hill,publication_The New York Times,publication_The Verge,publication_Vice,publication_Vice News,publication_Vox,publication_Washington Post,publication_Wired
2016-01-01,99.4391,101.01388247522156,0.011177436,0.03337017,0.07977288,0.09730225,0.074726924,0.098847575,0.103576735,0.14563987,0.14439712,0.21118903,-0.3323657474596047,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,101.04679653964423,0.07761973,0.006541445,0.07077981,0.08009946,0.06743198,0.057565887,0.06517344,0.030000132,0.05194796,0.49284014,-0.3597597597595436,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,101.01862939796828,0.24673364,0.025729397,0.14817211,0.09799243,0.07621943,0.11112373,0.12538157,0.06695725,0.04388691,0.057803523,-0.4536340852128904,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,100.98362274701675,0.054624394,0.09240801,0.2747988,0.15261419,0.038276866,0.09372194,0.03852499,0.036632065,0.05516229,0.16323642,-0.4493644936448442,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,100.93157248067996,0.030501192,0.06828515,0.02825567,0.10853229,0.118861794,0.074729994,0.098406956,0.045593772,0.3616189,0.06521427,-0.1711229946523301,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,100.81136501357145,0.018517297,0.60227954,0.037854657,0.118799545,0.015615991,0.056478105,0.03546965,0.056375436,0.03488703,0.02372272,-0.2978036175709632,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,100.84757187708104,0.040174633,0.046325073,0.025860129,0.12700734,0.026342362,0.08956986,0.045058634,0.3341459,0.22876711,0.03674897,-0.2024062278838632,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,100.88140903213298,0.3054484,0.08300079,0.074070215,0.21826722,0.041524127,0.043130264,0.08664318,0.07705966,0.013788552,0.05706758,-0.4154595564670663,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,100.793180562834,0.039654005,0.30488482,0.035166856,0.20292158,0.017554145,0.19503136,0.029009106,0.124536514,0.02490531,0.026336327,-0.4153705397986241,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,100.86482183351168,0.02853688,0.033175174,0.017188985,0.13907696,0.045788925,0.13195968,0.07629615,0.49208206,0.02633879,0.009556393,-0.2862926547135417,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,101.0037261731334,0.49385273,0.0064874105,0.09268333,0.08962858,0.022536471,0.045649428,0.13267986,0.02842117,0.016125629,0.071935385,-0.4707952146374687,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,100.82508025555585,0.043363288,0.0547215,0.024711603,0.23246714,0.03848295,0.15159059,0.058019806,0.26815617,0.09422687,0.03426005,-0.1994198694704863,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,101.12622882707586,0.04013169,0.00975638,0.16908237,0.020849,0.03037989,0.041344285,0.06758085,0.08808948,0.025618592,0.50716746,-0.4996628455829402,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,100.94361872423026,0.04376506,0.014735978,0.02112965,0.08128341,0.020712852,0.11021124,0.113686785,0.55288845,0.01762877,0.02395784,-0.6165289256188157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-01-01,99.4391,100.93176578205608,0.011631277,0.014663233,0.016882569,0.09225979,0.030724656,0.027727168,0.0449583,0.04202429,0.4724672,0.24666151,-0.0086313193588127,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-01-01,99.4391,100.98749845367084,0.5489513,0.009098297,0.080772296,0.042004842,0.043922197,0.033087514,0.11268179,0.0265015,0.011821157,0.091159075,-0.4538893344023841,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-01-01,99.4391,100.98259256302802,0.09883829,0.11116714,0.13095427,0.11873811,0.0560641,0.14210036,0.09830323,0.11947966,0.030078271,0.09427655,-0.412981298129722,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-01-01,99.4391,100.88852726985031,0.011966521,0.04095824,0.017248042,0.08664727,0.029011795,0.03692297,0.049506232,0.11847819,0.5292557,0.08000504,-0.1023550724637217,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-01-01,99.4391,100.8109935391014,0.03253458,0.11465262,0.034186073,0.22870801,0.057528477,0.108179525,0.050900392,0.25414145,0.09244666,0.02672217,-0.2908265213441797,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-01-01,99.4391,101.18378772366536,0.17128178,0.024302421,0.24733199,0.06743327,0.057537187,0.1022485,0.19968307,0.03515357,0.036212806,0.058815412,-0.7047128129601707,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-01-01,99.4391,100.91209885383348,0.18896031,0.03515844,0.0809617,0.21693625,0.059436303,0.03583878,0.087086655,0.09497401,0.0762454,0.124402165,-0.384615384615304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-01-01,99.4391,100.880658281576,0.041252673,0.08595835,0.0414987,0.12863047,0.04852792,0.10061688,0.048333894,0.11496801,0.28887317,0.10133995,-0.2941176470587112,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-02-01,98.9232,100.97311359184694,0.05569778,0.017438686,0.04259111,0.11505368,0.038629573,0.11089935,0.07078917,0.13822366,0.12362871,0.28704828,-0.3452685421990469,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-01,98.9232,101.1271452357588,0.15453629,0.031361938,0.048174847,0.1418486,0.035047382,0.13861306,0.24726026,0.09207213,0.07002731,0.041058183,-0.3976210705180978,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-01,98.9232,101.03131085627444,0.063430354,0.011232526,0.08684444,0.07608596,0.05290952,0.06316776,0.046448264,0.028159296,0.08907284,0.48264903,-0.3875530410181135,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-01,98.9232,101.07216730531869,0.20827648,0.021375235,0.12264623,0.101711266,0.068293095,0.12792692,0.17331971,0.091157556,0.03151024,0.05378325,-0.4342840341074877,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-01,98.9232,100.97996882195558,0.066680506,0.080401994,0.21495135,0.14840537,0.04928154,0.10601445,0.048970714,0.03986018,0.049423512,0.19601037,-0.5019526763150696,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-01,98.92319999999998,100.9446806718394,0.030188877,0.05429016,0.035672374,0.10436052,0.09327842,0.07691702,0.097515106,0.0504178,0.37809017,0.07926952,-0.1950856291883115,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-01,98.9232,100.8234476334876,0.015502619,0.58412325,0.047314122,0.12632206,0.019296229,0.06015041,0.042602774,0.050678004,0.030795438,0.023215078,-0.3701177929323093,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
