month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,date,sentiment,observation_date,INDPRO,publication_Buzzfeed News,publication_CNBC,publication_CNN,publication_Economist,publication_Fox News,publication_Gizmodo,publication_Hyperallergic,publication_Mashable,publication_New Republic,publication_New Yorker,publication_Politico,publication_Reuters,publication_The Hill,publication_The Verge,publication_Vice News,publication_Washington Post,publication_Wired
2016-01-01,0.15484394,0.18529616,0.20335901,0.25048468,0.21562108,0.40954953,0.22482733,0.25651595,0.18641512,0.23653963,2016-01-31,-0.3597597597595436,2016-01-01,99.4391,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.3085398,0.27311695,0.3555825,0.24996258,0.36097345,0.19636585,0.29244375,0.32847956,0.22426653,0.3308319,2016-01-31,-0.4536340852128904,2016-01-01,99.4391,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.20004551,0.2113038,0.22631119,0.23262323,0.24670736,0.2536094,0.24490133,0.26337644,0.25001734,0.3070332,2016-01-31,-0.4493644936448442,2016-01-01,99.4391,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.20101815,0.24168824,0.21072179,0.35461277,0.19266133,0.20910779,0.31254616,0.3004081,0.2638032,0.28708652,2016-01-31,-0.1711229946523301,2016-01-01,99.4391,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.20204121,0.30699107,0.18394794,0.30821803,0.20417406,0.24039781,0.3196527,0.33085567,0.5835726,0.25313047,2016-01-31,-0.2978036175709632,2016-01-01,99.4391,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.22384855,0.28965232,0.20565626,0.26751113,0.20377772,0.1792736,0.32921192,0.26809618,0.26812235,0.2610496,2016-01-31,-0.2024062278838632,2016-01-01,99.4391,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-01-01,0.2876359,0.27541244,0.35359955,0.23797941,0.38441157,0.21098216,0.32240614,0.31630078,0.25586176,0.29459718,2016-01-31,-0.4154595564670663,2016-01-01,99.4391,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-01-01,0.2561853,0.33891696,0.20861647,0.2379385,0.22606678,0.1955746,0.35494918,0.2507875,0.36889005,0.28790185,2016-01-31,-0.4153705397986241,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-01-01,0.2895463,0.23721363,0.4279352,0.21818462,0.48948932,0.2010745,0.2509959,0.30334035,0.19580163,0.2814904,2016-01-31,-0.4707952146374687,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-01-01,0.18792206,0.15897642,0.17726965,0.19378842,0.1646247,0.31606713,0.16673665,0.21282603,0.16688798,0.2448795,2016-01-31,-0.4996628455829402,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-01-01,0.27193278,0.19166315,0.41556427,0.23570986,0.4505878,0.22683577,0.22155222,0.29828298,0.19190137,0.29504204,2016-01-31,-0.4538893344023841,2016-01-01,99.4391,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
