date,publication,sentiment
2016-01-31,Reuters,-0.4996628455829402
2016-02-29,Reuters,-0.4680086268867951
2016-03-31,Reuters,-0.494701617400728
2016-04-30,Reuters,-0.4595588235291302
2016-05-31,Reuters,-0.4870509607347644
2016-06-30,Reuters,-0.47868623340288
2016-07-31,Reuters,-0.43575418994372833
2016-08-31,Reuters,-0.4285714285711384
2016-09-30,Reuters,-0.47299509001597956
2016-10-31,Reuters,-0.5565610859724909
2016-11-30,Reuters,-0.4619883040932671
2016-12-31,Reuters,-0.46337448559632644
2017-01-31,Reuters,-0.384236453201655
2017-02-28,Reuters,-0.3539603960391659
2017-03-31,Reuters,-0.47572815533938595
2017-04-30,Reuters,-0.46395563770751946
2017-05-31,Reuters,-0.44528875379905375
2017-06-30,Reuters,-0.48993288590574136
2017-07-31,Reuters,-0.401807723910927
2017-08-31,Reuters,-0.6032831737341975
2017-09-30,Reuters,-0.529245947850226
2017-10-31,Reuters,-0.4785766158311702
2017-11-30,Reuters,-0.43571924947850194
2017-12-31,Reuters,-0.46614785992181623
2018-01-31,Reuters,-0.5366847826083311
2018-02-28,Reuters,-0.5567375886519887
2018-03-31,Reuters,-0.5920903954798915
2018-04-30,Reuters,-0.5227272727269601
2018-05-31,Reuters,-0.4982130092919956
2018-06-30,Reuters,-0.46312292358773216
2018-07-31,Reuters,-0.5055350553502426
2018-08-31,Reuters,-0.5644515612485472
2018-09-30,Reuters,-0.4803625377638667
2018-10-31,Reuters,-0.5364238410591586
2018-11-30,Reuters,-0.5139338950093882
2018-12-31,Reuters,-0.5038759689917598
2019-01-31,Reuters,-0.5808147174766224
2019-02-28,Reuters,-0.5289855072458977
2019-03-31,Reuters,-0.5896834701051643
2019-04-30,Reuters,-0.5232653061220218
2019-05-31,Reuters,-0.5970149253726393
2019-06-30,Reuters,-0.5456221198154168
2019-07-31,Reuters,-0.5583514099780658
2019-08-31,Reuters,-0.5816203143891246
2019-09-30,Reuters,-0.5819960861054474
2019-10-31,Reuters,-0.5372604684171266
2019-11-30,Reuters,-0.5927465054776756
2019-12-31,Reuters,-0.5527950310556144
2020-01-31,Reuters,-0.45244003308500724
2020-02-29,Reuters,-0.4796132828917698
2020-03-31,Reuters,-0.6202712348320413
2016-01-31,The New York Times,-0.41298129812972206
2016-02-29,The New York Times,-0.4571763785685457
