month,publication,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
2016-01,CNBC,0.30088758,0.32311594,0.19236776,0.48408133,0.31092608,0.2724998,0.055365495,0.24907935,0.19361086,0.16315942
2016-01,CNN,0.18144527,0.352367,0.26236862,0.23255607,0.33503288,0.39006266,0.08567443,0.40560654,0.3254226,0.20122163
2016-01,Economist,0.18331121,0.23269145,0.16780524,0.27032062,0.30554268,0.22882882,0.10365543,0.21554251,0.19317459,0.19493511
2016-01,Gizmodo,0.27871075,0.16046919,0.17846465,0.18510906,0.193514,0.14013891,0.04563839,0.12735061,0.1388488,0.19056818
2016-01,Hyperallergic,0.20983693,0.11589474,0.2439028,0.15984608,0.16711013,0.12595822,0.011366252,0.14806496,0.17431818,0.4883518
2016-01,Mashable,0.2289704,0.18909663,0.29043216,0.19082315,0.2250168,0.20371602,0.049128544,0.20192577,0.23248236,0.23191142
2016-01,New Republic,0.16313379,0.3124904,0.26297137,0.20312715,0.25067228,0.3340518,0.048412863,0.38286927,0.26381433,0.22160353
2016-01,New Yorker,0.13750634,0.15260884,0.27987108,0.14014463,0.18599114,0.16407198,0.04840824,0.18939023,0.20748857,0.35326928
2016-01,Politico,0.17476462,0.45457166,0.2449843,0.25930747,0.3074608,0.45872596,0.075351626,0.56337625,0.30277154,0.1763256
2016-01,Reuters,0.18901682,0.23236956,0.1333072,0.3528073,0.2744408,0.22841649,0.053352874,0.1697469,0.18573679,0.0953958
2016-01,The Hill,0.21469161,0.45437336,0.2208329,0.29689685,0.333503,0.43731505,0.054307938,0.47408846,0.30330327,0.1830833
2016-01,The Verge,0.36133718,0.18407978,0.23219025,0.2584252,0.17283721,0.15335096,0.102129295,0.1449659,0.14944063,0.19139652
2016-01,Vice News,0.1367622,0.27186382,0.17193072,0.21525225,0.3772954,0.30288503,0.023351392,0.2329727,0.3456281,0.15248404
2016-01,Wired,0.28935573,0.16495395,0.19597435,0.22073188,0.17956267,0.15013553,0.062107112,0.14118701,0.13308132,0.19535652
2016-02,Buzzfeed News,0.16885169,0.3176809,0.24162072,0.21211563,0.27449247,0.3399328,0.05381458,0.34929457,0.3450914,0.17900899
2016-02,CNBC,0.29643944,0.30939436,0.19008072,0.4533925,0.280937,0.25735813,0.06777642,0.24356033,0.20083687,0.15757652
2016-02,CNN,0.17256968,0.33377522,0.2593201,0.21573049,0.30606464,0.35273862,0.08014966,0.39259624,0.31449977,0.19956936
2016-02,Economist,0.17561652,0.24450412,0.1644458,0.2631623,0.30955675,0.23455104,0.093216084,0.23901196,0.19113268,0.19230473
2016-02,Gizmodo,0.28198653,0.17213453,0.17574322,0.19275314,0.20695496,0.15094924,0.04404853,0.12948671,0.15611929,0.18440828
2016-02,Hyperallergic,0.24519181,0.13225855,0.25516218,0.18517914,0.18716785,0.14157534,0.009345982,0.15896736,0.19140236,0.495768
2016-02,Mashable,0.22690848,0.18325604,0.3052284,0.19210404,0.21115848,0.19936734,0.054429844,0.20708461,0.22521646,0.24360399
2016-02,New Republic,0.15392761,0.319688,0.26724595,0.19458112,0.23868306,0.34361944,0.06303765,0.43235663,0.25441322,0.21892199
2016-02,New Yorker,0.15393999,0.16904663,0.30459234,0.13895924,0.2047857,0.19417413,0.045620117,0.21670932,0.2465812,0.37894657
2016-02,Politico,0.16938236,0.44718722,0.24554124,0.24772868,0.2867271,0.44543788,0.079205476,0.58011794,0.293745,0.18049169
2016-02,Reuters,0.1950442,0.23440705,0.1421187,0.36492375,0.2667971,0.22422554,0.042137567,0.17128664,0.1706342,0.10363193
2016-02,The Hill,0.21682638,0.4371354,0.230678,0.2890292,0.29622826,0.43529993,0.06040176,0.5075046,0.27885544,0.18922788
2016-02,The Verge,0.3549956,0.19986042,0.24923018,0.27424675,0.19657484,0.17915729,0.08142997,0.16264437,0.17787294,0.20192808
2016-02,Vice News,0.1340086,0.27407128,0.16972362,0.21310051,0.36263278,0.2946239,0.033076175,0.25485706,0.31162408,0.14303528
2016-02,Wired,0.2645244,0.15970452,0.22142908,0.20001507,0.18344182,0.16469887,0.044689823,0.14957736,0.16562909,0.20710899
2016-03,Buzzfeed News,0.18278731,0.28699812,0.25604308,0.21499322,0.29194948,0.32538438,0.061774407,0.2983354,0.3640681,0.19089279
2016-03,CNBC,0.27351776,0.30863324,0.20267983,0.44093266,0.2996256,0.27958265,0.0634575,0.2642088,0.21069477,0.1706739
2016-03,CNN,0.16185924,0.3095979,0.2581708,0.20620641,0.31248206,0.35452583,0.06568165,0.35307738,0.34337515,0.19067205
2016-03,Economist,0.18060099,0.24354775,0.17543484,0.26410452,0.3048765,0.23875508,0.12742065,0.24079446,0.19511302,0.197552
2016-03,Gizmodo,0.28369844,0.16726372,0.18732466,0.18961303,0.19875383,0.15600334,0.048776515,0.13472427,0.16079731,0.19999993
2016-03,Hyperallergic,0.23318529,0.12214929,0.24652614,0.17561796,0.17484081,0.13089979,0.009654878,0.15194088,0.17054942,0.5043817
2016-03,Mashable,0.24642064,0.18470074,0.29491937,0.19644411,0.22123583,0.1973373,0.049767833,0.19448522,0.23230405,0.24716148
2016-03,New Republic,0.14562811,0.31950882,0.24762146,0.19011062,0.2473956,0.35571703,0.04760755,0.41979307,0.26380122,0.20624176
2016-03,New Yorker,0.15738472,0.17992882,0.30326474,0.15394926,0.20140335,0.20391372,0.039978463,0.2321263,0.23447911,0.36107907
