month,publication,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
2016-01,CNBC,0.28286803,0.30317435,0.05536549,0.1848306,0.3140396,0.27868432,0.20409866,0.13979505,0.27087355,0.491767
2016-01,CNN,0.33540913,0.275612,0.08567442,0.25720048,0.19060932,0.39946523,0.33066478,0.18741268,0.39738137,0.2349846
2016-01,Economist,0.29252097,0.2376908,0.10365539,0.16819607,0.19195552,0.2221451,0.19569542,0.18234324,0.22647855,0.27470815
2016-01,Gizmodo,0.14301156,0.27120593,0.045638386,0.17305875,0.26936957,0.13741055,0.14254427,0.17431161,0.14407381,0.17640723
2016-01,Hyperallergic,0.13680643,0.25761393,0.011366252,0.25493914,0.20323378,0.12881975,0.17034173,0.5001901,0.13764258,0.14756194
2016-01,Mashable,0.1984,0.26767662,0.049128544,0.28699845,0.22594671,0.19494414,0.23165475,0.21442392,0.211092,0.1841006
2016-01,New Republic,0.25069195,0.24352287,0.048412867,0.2590576,0.17095031,0.36981535,0.2691239,0.20904376,0.34976912,0.20443565
2016-01,New Yorker,0.16105914,0.2552775,0.048408236,0.28356186,0.12974688,0.17532083,0.20379694,0.3410725,0.17411885,0.137377
2016-01,Politico,0.3178519,0.27473277,0.075351626,0.2358044,0.18363763,0.5579592,0.3157253,0.15894173,0.4766921,0.26870948
2016-01,Reuters,0.27228796,0.19329691,0.05335287,0.12819459,0.2052712,0.19100629,0.19068322,0.085687384,0.21915919,0.35844082
2016-01,The Hill,0.340873,0.28295657,0.054307938,0.21505855,0.22629884,0.4904591,0.3179605,0.16719213,0.44779092,0.30372062
2016-01,The Verge,0.1403256,0.2598514,0.102129266,0.22959952,0.35794693,0.15634066,0.15395698,0.17287491,0.15913144,0.24663371
2016-01,Vice News,0.3863962,0.21622624,0.023351392,0.17163035,0.15212618,0.24268903,0.34645703,0.14674965,0.2928175,0.21943669
2016-01,Wired,0.14203472,0.25158972,0.062107105,0.19299358,0.28697005,0.14731526,0.13657646,0.17867634,0.15593205,0.20982774
2016-02,Buzzfeed News,0.27806395,0.2277183,0.05381458,0.23855756,0.18252485,0.34560284,0.35062885,0.16874158,0.34939295,0.21036844
2016-02,CNBC,0.24925834,0.29050303,0.06777641,0.18290873,0.30936897,0.2708464,0.210915,0.13501187,0.25900307,0.45844853
2016-02,CNN,0.29656893,0.27016607,0.08014965,0.25338727,0.18020335,0.38495958,0.32051378,0.18663527,0.36345214,0.21782
2016-02,Economist,0.29634506,0.23515673,0.093216054,0.16574334,0.18457195,0.24441302,0.19451517,0.17880568,0.234409,0.2687918
2016-02,Gizmodo,0.1590483,0.27172038,0.044048525,0.1700688,0.27455616,0.14207067,0.16012824,0.16889004,0.15379412,0.1840113
2016-02,Hyperallergic,0.155422,0.2787808,0.009345983,0.26581964,0.23811135,0.14170781,0.18770273,0.5056861,0.15267095,0.17166905
2016-02,Mashable,0.19091363,0.25758103,0.05442985,0.30300716,0.22481817,0.19635482,0.22379753,0.22704057,0.20810723,0.18441643
2016-02,New Republic,0.23668045,0.24441694,0.06303765,0.26211944,0.1602152,0.4112674,0.26010922,0.20517793,0.36349338,0.19652358
2016-02,New Yorker,0.18003336,0.27403218,0.045620117,0.3090787,0.14560293,0.19768204,0.24221942,0.36641866,0.20597161,0.13514024
2016-02,Politico,0.29015917,0.27972928,0.079205476,0.23375641,0.17666271,0.56898403,0.30774236,0.16208883,0.46720663,0.25638506
2016-02,Reuters,0.25818288,0.19927503,0.042137567,0.13666476,0.21260849,0.19344723,0.17681323,0.09335452,0.2170794,0.3698897
2016-02,The Hill,0.30242875,0.2809881,0.060401767,0.22348818,0.22613573,0.51059794,0.29250062,0.17145625,0.4522599,0.29168063
2016-02,The Verge,0.16785757,0.2670665,0.08142995,0.24512227,0.35694483,0.17200011,0.18224569,0.18507476,0.1843457,0.26130378
2016-02,Vice News,0.36734056,0.21539909,0.033076175,0.16865528,0.14765759,0.26314768,0.31404936,0.13584024,0.28715366,0.21798578
2016-02,Wired,0.15051618,0.24566928,0.044689823,0.21792679,0.2650998,0.14887956,0.16724452,0.19247416,0.17136768,0.18766002
2016-03,Buzzfeed News,0.29339004,0.23392747,0.061774403,0.2540019,0.19759113,0.29375836,0.3660085,0.181192,0.33112562,0.21056335
2016-03,CNBC,0.27685753,0.28566667,0.06345749,0.19657312,0.28643364,0.28360027,0.2191683,0.15033253,0.28072745,0.44670063
2016-03,CNN,0.30854967,0.25576815,0.06568165,0.2541718,0.1719508,0.3452416,0.34595472,0.17856532,0.36039937,0.20635742
2016-03,Economist,0.29555413,0.23539634,0.1274206,0.1764978,0.18860424,0.24524662,0.19770572,0.18442746,0.23810905,0.26937583
2016-03,Gizmodo,0.15420975,0.2738786,0.048776515,0.18123226,0.2753911,0.14327969,0.16392739,0.18433866,0.15959936,0.17985669
2016-03,Hyperallergic,0.14132068,0.27573723,0.00965488,0.25744703,0.22489004,0.1342614,0.1667209,0.5140349,0.14262153,0.16265605
2016-03,Mashable,0.19887875,0.2641976,0.049767833,0.29409626,0.24392605,0.1875374,0.2309529,0.22994822,0.20441324,0.18790902
2016-03,New Republic,0.25164497,0.23522969,0.04760755,0.24223939,0.1529745,0.40028942,0.26942083,0.19379088,0.37222433,0.19307877
2016-03,New Yorker,0.18356298,0.26354292,0.03997847,0.307467,0.15121555,0.2151636,0.23061666,0.3484762,0.21477272,0.15000063
2016-03,Politico,0.30516475,0.2639251,0.060463518,0.22708456,0.16907533,0.52604234,0.3094825,0.16300476,0.45893922,0.2384945
2016-03,Reuters,0.26925775,0.19267973,0.053257365,0.12499747,0.20715603,0.1829151,0.18116555,0.08904558,0.21823376,0.35668117
2016-03,The Hill,0.3400828,0.2886248,0.0536424,0.22963263,0.22711718,0.5083554,0.32836497,0.1764224,0.46821475,0.29930174
2016-03,The Verge,0.14334616,0.26294786,0.08667229,0.22136873,0.3597049,0.14835794,0.16272023,0.18309109,0.15884708,0.24375238
2016-03,Vice News,0.3853962,0.22045416,0.035071533,0.18154487,0.15446785,0.26692683,0.32690567,0.15148054,0.30768484,0.2224124
2016-03,Wired,0.15769385,0.2528121,0.04473146,0.20790757,0.28427386,0.14813896,0.15419675,0.19455804,0.16900711,0.2029099
2016-04,Buzzfeed News,0.26259655,0.22874436,0.05852887,0.25916788,0.19707522,0.2576369,0.33490455,0.19069697,0.28472,0.20563704
2016-04,CNBC,0.24919423,0.29528615,0.05951214,0.19379075,0.3079834,0.2662146,0.21049742,0.1416828,0.26191154,0.4690346
2016-04,CNN,0.31256077,0.26193962,0.06879453,0.26399335,0.18321376,0.35266507,0.34091794,0.19180854,0.35778674,0.21878774
2016-04,Economist,0.29747745,0.23434405,0.12750992,0.1730791,0.18343003,0.24467885,0.20049763,0.17799647,0.24258311,0.2662399
2016-04,Fox News,0.026640741,0.24306817,-0.07500659,0.11615287,0.053782918,0.16967219,0.13081801,0.021826431,0.10979717,0.106003456
2016-04,Gizmodo,0.14549537,0.2686576,0.0507125,0.17639403,0.2844024,0.13450779,0.15095353,0.17079665,0.14834896,0.18418165
2016-04,Hyperallergic,0.15583867,0.27228037,0.013458224,0.2584845,0.21866445,0.14129576,0.1786827,0.50596565,0.15300825,0.16185787
2016-04,Mashable,0.18530515,0.2692156,0.052427124,0.30313233,0.2521556,0.17802861,0.21829456,0.2302531,0.19629462,0.19890803
2016-04,New Republic,0.23197342,0.24672219,0.043163747,0.25981417,0.15928061,0.36332297,0.2533634,0.22442222,0.32819337,0.19015948
2016-04,New Yorker,0.17272711,0.27058932,0.069250956,0.30054355,0.15507104,0.19900022,0.2225891,0.35077238,0.19763425,0.14595702
2016-04,Politico,0.3066574,0.26519307,0.047284503,0.24703148,0.18385409,0.53189915,0.32802233,0.17588994,0.47104353,0.26142377
2016-04,Reuters,0.22660866,0.19536433,0.039329667,0.12909143,0.22601667,0.17066067,0.17088461,0.08542704,0.1995761,0.3684182
2016-04,The Hill,0.31084526,0.27718604,0.0485028,0.22391471,0.22390456,0.4900893,0.30923593,0.17482413,0.44368112,0.30491254
2016-04,The Verge,0.1498155,0.26326123,0.083314195,0.23839352,0.33999085,0.16132371,0.17223768,0.18955362,0.16676538,0.24296734
2016-04,Vice News,0.37468237,0.22215907,0.033937406,0.1751272,0.15541801,0.26474127,0.33201578,0.14959404,0.2994819,0.22863568
2016-04,Wired,0.14110953,0.2558292,0.046440363,0.19836043,0.273301,0.13953687,0.13572906,0.19866377,0.15235402,0.19214515
2016-05,Buzzfeed News,0.2823323,0.23874143,0.049412385,0.24090093,0.20128852,0.27575508,0.34218225,0.17976548,0.3086518,0.2174896
2016-05,CNBC,0.24397634,0.28388843,0.047362246,0.18663208,0.2947289,0.2600314,0.20791388,0.13393642,0.25294352,0.44307593
2016-05,CNN,0.31358778,0.25502604,0.06565265,0.25500637,0.18353826,0.3259163,0.3437872,0.18584137,0.34726876,0.21370707
2016-05,Economist,0.29670882,0.22837512,0.11033007,0.16734807,0.18391794,0.22577295,0.19501588,0.19036716,0.22659576,0.25820273
2016-05,Fox News,0.0772538,0.258012,-0.07826318,0.09126443,0.064945355,0.212922,0.19642377,0.054836817,0.14808074,0.10479491
2016-05,Gizmodo,0.14574467,0.27075002,0.04416912,0.17315313,0.2631348,0.1286642,0.1555525,0.17566432,0.1415615,0.1683298
2016-05,Hyperallergic,0.15688708,0.27476692,0.011399669,0.2706258,0.22289112,0.14597449,0.19311243,0.51446414,0.16022305,0.16532113
2016-05,Mashable,0.18074411,0.2745222,0.06225599,0.3157717,0.2419643,0.18461254,0.22054592,0.23200329,0.19604488,0.1866256
2016-05,New Republic,0.26840484,0.26183257,0.046987176,0.26352686,0.17698058,0.3989773,0.26576725,0.22678204,0.37471575,0.22334355
2016-05,New Yorker,0.17766224,0.27308592,0.056135684,0.32053295,0.15369983,0.20023315,0.23729634,0.35320556,0.20691171,0.13857782
2016-05,Politico,0.30741376,0.27242833,0.057791766,0.24134342,0.19555087,0.5277019,0.3238691,0.17038098,0.48796508,0.27769768
2016-05,Reuters,0.22531258,0.18888322,0.068999335,0.12664731,0.23657288,0.15938103,0.15801461,0.0828606,0.2013439,0.4006242
2016-05,The Hill,0.32710922,0.30106035,0.044662397,0.2268477,0.23191337,0.52107245,0.31094944,0.18263887,0.45224392,0.31028584
2016-05,The Verge,0.14607807,0.25816387,0.0774141,0.21717791,0.36089414,0.14478588,0.15255538,0.18450457,0.15719752,0.23586868
2016-05,Vice News,0.37103677,0.2183384,0.031718083,0.17068748,0.15083013,0.25642097,0.33282864,0.14476697,0.29255304,0.22362535
2016-05,Wired,0.15285596,0.26083764,0.05627462,0.22174369,0.25783992,0.15191105,0.15931672,0.21464404,0.16978861,0.18977772
2016-06,Buzzfeed News,0.2969036,0.22767776,0.036174353,0.26013395,0.18888809,0.2753254,0.36409175,0.19209218,0.30665204,0.20475881
2016-06,CNBC,0.2583754,0.27544132,0.028977716,0.19697389,0.28877398,0.26444453,0.21229474,0.13901953,0.25694284,0.41824898
2016-06,CNN,0.3325492,0.24492568,0.051583312,0.26232994,0.17057833,0.3473568,0.35425544,0.19510488,0.38063237,0.20866966
2016-06,Economist,0.30740905,0.24437435,0.067676514,0.18231396,0.20529504,0.23996964,0.19951515,0.18996362,0.23805419,0.28504226
2016-06,Fox News,0.06460756,0.2562738,-0.03504097,0.12151315,0.09690793,0.15741578,0.16398387,0.024331331,0.09599015,0.14062288
2016-06,Gizmodo,0.14891566,0.28567347,0.049582288,0.19918059,0.2799332,0.1433471,0.16313823,0.19531457,0.15473144,0.18215758
2016-06,Hyperallergic,0.16838142,0.26102936,0.0077075786,0.25664306,0.2103441,0.15272504,0.19534908,0.49647784,0.16378199,0.16033846
2016-06,Mashable,0.18718806,0.26839676,0.04795011,0.3153291,0.24913758,0.18655454,0.22344053,0.23367475,0.2051573,0.19001727
2016-06,New Republic,0.28541785,0.24417676,0.04068325,0.2599448,0.17353266,0.38826698,0.27810353,0.22466129,0.37917888,0.21781226
2016-06,New Yorker,0.16605036,0.25205436,0.07410693,0.28574052,0.12437896,0.18505812,0.22805464,0.3457479,0.19226368,0.11363739
2016-06,Politico,0.34488449,0.25743893,0.044077106,0.24787776,0.18582323,0.5243907,0.34090993,0.17404053,0.50187784,0.26388553
2016-06,Reuters,0.22409438,0.17066164,0.038078908,0.12739332,0.19717117,0.15941598,0.15564765,0.07781289,0.18316919,0.34565678
2016-06,The Hill,0.34068415,0.2913891,0.034490675,0.2387578,0.2391228,0.48895788,0.3461764,0.19159263,0.45674402,0.2970855
2016-06,The Verge,0.1517102,0.25941616,0.087479934,0.22397418,0.34506944,0.14838995,0.16412131,0.17710918,0.16032471,0.2328116
2016-06,Vice News,0.3664784,0.19482149,0.017183335,0.17978606,0.14421816,0.25541437,0.3357931,0.13847598,0.2890873,0.19448678
2016-06,Washington Post,0.079935506,0.10879582,1.0000001,0.17041227,0.054774165,0.08619706,0.06788733,0.04935807,0.08818135,0.09324986
2016-06,Wired,0.15257582,0.24032624,0.049467504,0.20595217,0.24837685,0.1521882,0.16067973,0.19471335,0.1690309,0.17589736
2016-07,Buzzfeed News,0.29398865,0.241244,0.047664054,0.2639994,0.19467828,0.3186577,0.3607299,0.19749667,0.34709638,0.21038581
2016-07,CNBC,0.2391199,0.26769704,0.047814623,0.18949434,0.28153077,0.27334547,0.21597354,0.1452066,0.25931644,0.39129332
2016-07,CNN,0.32429433,0.26254648,0.05332195,0.27305573,0.18157937,0.36287007,0.36012408,0.21197058,0.37761816,0.20258197
2016-07,Economist,0.30561188,0.23373196,0.09446491,0.18527152,0.18864095,0.23382054,0.1995713,0.18953712,0.23747502,0.26735696
2016-07,Fox News,0.05396124,0.25560656,-0.0010869433,0.11490742,0.07822301,0.15585196,0.16582388,0.0075017605,0.0963331,0.15407583
2016-07,Gizmodo,0.16101573,0.28092656,0.048405398,0.19066322,0.25105393,0.14770389,0.18143035,0.18351935,0.16713172,0.16891477
2016-07,Hyperallergic,0.14921014,0.27662256,0.0090657845,0.25897825,0.21773502,0.15183754,0.18844894,0.51441,0.15239225,0.15652394
2016-07,Mashable,0.20250943,0.27807468,0.052893788,0.31231496,0.24920636,0.1962659,0.23345175,0.23685984,0.21259665,0.18500839
2016-07,New Republic,0.31444824,0.25717306,0.04600795,0.303165,0.178242,0.4612771,0.32655168,0.24556756,0.4606669,0.21343955
2016-07,New Yorker,0.18792664,0.2710705,0.083202444,0.3104655,0.15637167,0.21186884,0.24386199,0.34933507,0.21535902,0.14541765
2016-07,Politico,0.33481815,0.26397738,0.05773098,0.2733557,0.18587886,0.53009725,0.34908342,0.19927321,0.5050932,0.24863529
2016-07,Reuters,0.22498645,0.1726451,0.067645825,0.12643592,0.21258509,0.14525254,0.15089619,0.07893706,0.18102333,0.35617867
2016-07,The Hill,0.33433664,0.28359008,0.053139653,0.25113398,0.21350457,0.5081109,0.342214,0.19096947,0.4681644,0.27551663
2016-07,The Verge,0.15344884,0.2696471,0.07874044,0.22966966,0.33848426,0.15109819,0.1687111,0.19458094,0.1614555,0.23492628
2016-07,Vice News,0.37568226,0.20452736,0.025474781,0.19104157,0.13715996,0.26126823,0.3585392,0.14542556,0.30573133,0.18236534
2016-07,Wired,0.16123709,0.25093958,0.052264325,0.22890705,0.24217065,0.16955096,0.16539636,0.20328051,0.18591823,0.18085143
2016-08,Buzzfeed News,0.303222,0.23900068,0.06013342,0.2661106,0.199913,0.28097,0.34763357,0.1920189,0.33391228,0.21701583
2016-08,CNBC,0.2596708,0.2876854,0.054572117,0.18678111,0.2933735,0.28843892,0.21498342,0.14193305,0.27533185,0.44461152
2016-08,CNN,0.3273873,0.25159252,0.06682112,0.26038018,0.17237835,0.3403522,0.3416174,0.19296904,0.3619696,0.21431087
2016-08,Economist,0.29755244,0.23908542,0.13684571,0.18120469,0.18302798,0.21893263,0.202015,0.1776403,0.22647858,0.25473857
2016-08,Fox News,0.041465838,0.25066635,-0.031217787,0.14010318,0.089765,0.18549564,0.17145431,0.031453222,0.11917182,0.13918377
2016-08,Gizmodo,0.15961705,0.2785649,0.04918175,0.1947304,0.258871,0.14276832,0.17795083,0.18505229,0.1624294,0.17560962
2016-08,Hyperallergic,0.14633316,0.27124578,-0.0013618296,0.25799736,0.21928774,0.14456254,0.17797315,0.49957004,0.14959319,0.16237293
2016-08,Mashable,0.19362292,0.26699275,0.058616016,0.30224264,0.23693281,0.17809102,0.22947894,0.21398427,0.19520202,0.18042351
2016-08,New Republic,0.33143246,0.27037418,0.046583794,0.2784273,0.1942222,0.42581463,0.31547895,0.25117922,0.4417635,0.24243928
2016-08,New Yorker,0.18808097,0.25943735,0.07815069,0.30818108,0.1454155,0.2044122,0.25290644,0.34085315,0.21903981,0.13993905
2016-08,Politico,0.35688522,0.27160215,0.07046296,0.27097064,0.20674637,0.52866626,0.3556737,0.1933544,0.52904105,0.28272095
2016-08,Reuters,0.20710115,0.19290358,0.12461788,0.13596794,0.21328238,0.14804019,0.14300263,0.08041518,0.17381565,0.33994022
2016-08,The Hill,0.3503855,0.2971134,0.05381773,0.2544777,0.23009793,0.51718694,0.34944436,0.20903336,0.5035603,0.30342066
2016-08,The Verge,0.15287158,0.26213127,0.08738955,0.22441693,0.35067973,0.15360823,0.16620228,0.18112507,0.1615955,0.23874547
2016-08,Vice News,0.3533876,0.2244597,0.040635366,0.19558692,0.17387602,0.27885348,0.349734,0.1490924,0.32413062,0.2276445
2016-08,Wired,0.1590492,0.25901556,0.04882068,0.22192048,0.25370088,0.16762537,0.17163198,0.19259599,0.1789727,0.1828832
2016-09,Buzzfeed News,0.27611312,0.24056965,0.06692622,0.27074212,0.20727536,0.29479066,0.34448633,0.19183859,0.32934543,0.20693608
2016-09,CNBC,0.25220567,0.2894875,0.039853252,0.19081463,0.29591402,0.27981108,0.22389059,0.14352567,0.269586,0.44895804
2016-09,CNN,0.33642536,0.26919428,0.07263711,0.2687655,0.190352,0.36362028,0.35562295,0.20158981,0.3908769,0.2212966
2016-09,Economist,0.30548966,0.24956799,0.11675946,0.18398607,0.20129794,0.25470424,0.20859727,0.19900201,0.2556568,0.28486007
2016-09,Fox News,0.051405273,0.23859628,-0.06645091,0.1075425,0.07881889,0.15037613,0.13769422,0.025400558,0.09299643,0.14057723
2016-09,Gizmodo,0.17864126,0.27679726,0.044714093,0.19510981,0.2919273,0.16386783,0.19521645,0.18348148,0.18500572,0.19595146
2016-09,Hyperallergic,0.15162946,0.28573188,0.0098774815,0.26889548,0.22288677,0.16752367,0.19554059,0.51077276,0.16502982,0.1628589
2016-09,Mashable,0.18673395,0.27587032,0.039152063,0.29877567,0.26444367,0.19857806,0.2280941,0.21978278,0.21120965,0.19828546
2016-09,New Republic,0.3213426,0.28253055,0.041069407,0.28999752,0.20263617,0.42727357,0.33166268,0.25941065,0.4438906,0.23846616
2016-09,New Yorker,0.19315293,0.28103676,0.06625282,0.32434,0.16613436,0.21005699,0.26105285,0.35862374,0.22721104,0.14803506
2016-09,Politico,0.35592616,0.27028367,0.06294232,0.26272085,0.19558665,0.50993204,0.3468491,0.19112945,0.5185451,0.2666492
2016-09,Reuters,0.21977541,0.176564,0.05009067,0.12539634,0.20387937,0.16369177,0.16201225,0.08508843,0.19150141,0.33722526
2016-09,The Hill,0.36292693,0.30441883,0.043370076,0.23881553,0.2379944,0.5033489,0.36090362,0.1957993,0.48139697,0.31212875
2016-09,The Verge,0.15223557,0.25833195,0.12734292,0.21244767,0.3304457,0.15132217,0.16464949,0.16417645,0.15967003,0.22904748
2016-09,Vice News,0.33525017,0.25443846,0.02914807,0.21256301,0.2194539,0.3084629,0.34946582,0.16290878,0.33898446,0.2494258
