month,publication,topic_0,topic_0,topic_1,topic_1,topic_2,topic_2,topic_3,topic_3,topic_4,topic_4,topic_5,topic_5,topic_6,topic_6,topic_7,topic_7,topic_8,topic_8,topic_9,topic_9
2016-01,CNBC,0.4330145,0.43301165,0.25142643,0.2514284,0.2252065,0.22521214,0.2586953,0.2586856,0.24887429,0.24887627,0.26766962,0.26765323,0.2661495,0.2661644,0.29310647,0.29308823,0.23582213,0.23582213,0.27659062,0.276597
2016-01,CNN,0.2583229,0.2583249,0.32326657,0.32324657,0.33677807,0.33677867,0.38811648,0.3881107,0.38505057,0.38505358,0.37193006,0.37190992,0.32437474,0.32439235,0.316899,0.31691453,0.2777546,0.2777546,0.36934555,0.3693512
2016-01,Economist,0.2974378,0.2974463,0.27683324,0.2768147,0.24606025,0.24605174,0.29242536,0.29241893,0.26800507,0.26801056,0.32773554,0.32772163,0.2914535,0.29147395,0.29971308,0.2997119,0.30195588,0.30195588,0.3075344,0.30754155
2016-01,Gizmodo,0.2562554,0.2562627,0.31013635,0.31012544,0.24139455,0.24138436,0.24647942,0.24647757,0.2553704,0.25537363,0.32679597,0.32677132,0.36319262,0.36319602,0.3846933,0.3847093,0.308621,0.308621,0.3347579,0.33476445
2016-01,Hyperallergic,0.30657554,0.30658236,0.38207084,0.38203725,0.26181245,0.2617818,0.26928008,0.26928186,0.25096655,0.25097653,0.3013873,0.3013513,0.3730972,0.37312773,0.38073543,0.38074502,0.6099022,0.6099022,0.38857532,0.3885932
2016-01,Mashable,0.2246219,0.22462642,0.33131862,0.33131135,0.24886377,0.2488529,0.24089593,0.24089445,0.24142374,0.24142808,0.29904807,0.29902732,0.35359403,0.35359845,0.31219286,0.31220654,0.2989227,0.2989227,0.30557692,0.30558497
2016-01,New Republic,0.25286537,0.25286958,0.31838483,0.31837124,0.31020534,0.3101996,0.39846268,0.39845854,0.36692747,0.36693197,0.31067982,0.31065384,0.34152713,0.34153676,0.29290405,0.29291326,0.29540142,0.29540142,0.35177925,0.35179207
2016-01,New Yorker,0.2531905,0.25319883,0.37813962,0.37813026,0.271179,0.2711693,0.27212495,0.27212158,0.25027925,0.2502875,0.32021987,0.32018214,0.384767,0.38477963,0.30588824,0.3058979,0.39339212,0.39339212,0.30050156,0.30052248
2016-01,Politico,0.26577893,0.26577932,0.3048719,0.30486852,0.34994757,0.34994727,0.5099222,0.5099161,0.44723138,0.44723395,0.32106197,0.3210367,0.28646198,0.28646967,0.29789114,0.29790086,0.25964436,0.25964436,0.35314155,0.35314816
2016-01,Reuters,0.34905934,0.34906113,0.20540856,0.2054027,0.24150717,0.24151292,0.20790184,0.20789716,0.21919627,0.2191983,0.27686507,0.2768668,0.19875734,0.1987717,0.23889212,0.2388785,0.20374237,0.20374237,0.2374512,0.2374485
