month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,date,sentiment,observation_date,UNRATE,publication_Business Insider,publication_Buzzfeed News,publication_CNBC,publication_CNN,publication_Economist,publication_Fox News,publication_Gizmodo,publication_Hyperallergic,publication_Mashable,publication_New Republic,publication_New Yorker,publication_People,publication_Politico,publication_Refinery 29,publication_Reuters,publication_TMZ,publication_TechCrunch,publication_The Hill,publication_The New York Times,publication_The Verge,publication_Vice,publication_Vice News,publication_Vox,publication_Washington Post,publication_Wired
2016-01-01,0.047302984,0.108756624,0.06540001,0.17748734,0.07895617,0.0894271,0.14779136,0.20320085,0.062031247,0.01964631,2016-01-31,-0.3323657474596047,2016-01-01,4.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.048579417,0.034059517,0.039285414,0.08041005,0.0489814,0.047445092,0.08220616,0.5336004,0.04123221,0.044200376,2016-01-31,-0.3597597597595436,2016-01-01,4.8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.076842524,0.10081227,0.06280597,0.020818982,0.08496678,0.1640641,0.14369948,0.028038414,0.031465318,0.28648618,2016-01-31,-0.4536340852128904,2016-01-01,4.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.17875434,0.0656785,0.06935496,0.09241578,0.028589163,0.14639984,0.13329387,0.1846203,0.045752045,0.055141196,2016-01-31,-0.4493644936448442,2016-01-01,4.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.027663002,0.11516362,0.1631974,0.3090547,0.035086274,0.03496487,0.18921006,0.026135849,0.08845387,0.011070326,2016-01-31,-0.1711229946523301,2016-01-01,4.8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.06452156,0.2668524,0.06065804,0.12466262,0.02433629,0.102223165,0.31978482,0.014350806,0.015436546,0.0071737324,2016-01-31,-0.2978036175709632,2016-01-01,4.8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.02659627,0.276871,0.065359525,0.14288633,0.057208236,0.09745236,0.19712211,0.028133433,0.050869383,0.057501376,2016-01-31,-0.2024062278838632,2016-01-01,4.8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.1130161,0.1657863,0.04655385,0.031100564,0.053492248,0.07327007,0.19745216,0.03710213,0.012519898,0.2697067,2016-01-31,-0.4154595564670663,2016-01-01,4.8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.05546525,0.27169928,0.055315837,0.08692319,0.023381146,0.101296015,0.32720608,0.028994894,0.018051684,0.03166663,2016-01-31,-0.4153705397986241,2016-01-01,4.8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.019713642,0.3759124,0.024716998,0.03534182,0.10858272,0.09558572,0.2904533,0.009243996,0.008316661,0.03213273,2016-01-31,-0.2862926547135417,2016-01-01,4.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
