iter	RMSE
0	1.978711944
1	1.944319316
2	1.915206807
3	1.884497707
4	1.861245485
5	1.838867102
6	1.816865207
7	1.79794888
8	1.777829348
9	1.761968167
10	1.744701513
11	1.735163515
12	1.721416723
13	1.709289283
14	1.701549743
15	1.683857059
16	1.670138348
17	1.663740862
18	1.644827788
19	1.63146651
20	1.623464532
21	1.615166222
22	1.602692815
23	1.595094923
24	1.583109306
25	1.577429045
26	1.564173272
27	1.552446768
28	1.543851527
29	1.533594234
30	1.525537049
31	1.518184117
32	1.512768667
33	1.505169315
34	1.499405788
35	1.491916359
36	1.483464316
37	1.473441494
38	1.464655262
39	1.457204736
40	1.455237434
41	1.445577153
42	1.439036264
43	1.431367777
44	1.425386311
45	1.419415793
46	1.411109667
47	1.403822069
48	1.396033652
49	1.391598852
50	1.385842515
51	1.379338877
52	1.37264543
53	1.368025046
54	1.36401127
55	1.355158259
56	1.345700256
57	1.339135387
58	1.334303212
59	1.326997506
60	1.321870299
61	1.31809523
62	1.310664281
63	1.306033528
64	1.30033749
65	1.295000335
66	1.287799094
67	1.285653653
68	1.279114734
69	1.271388239
70	1.266005629
71	1.262326286
72	1.260038663
73	1.255431419
74	1.252543834
75	1.247129273
76	1.238007517
77	1.234391624
78	1.231155253
79	1.224612319
80	1.218330166
81	1.21273868
82	1.208518777
83	1.202763624
84	1.197764615
85	1.194084098
86	1.190194758
87	1.187511379
88	1.183485339
89	1.179211298
90	1.174887041
91	1.170564897
92	1.165784833
93	1.161098312
94	1.155729798
95	1.150101319
96	1.145081775
97	1.141284165
98	1.136487754
99	1.131991339
100	1.128285255
101	1.12438365
102	1.121205602
103	1.113637002
104	1.107595363
105	1.101779719
106	1.094477749
107	1.088000633
108	1.082814305
109	1.078031028
110	1.074648682
111	1.066557172
112	1.064973367
113	1.062234087
114	1.058358615
115	1.054504602
116	1.05095116
117	1.048243213
118	1.042507312
119	1.036472884
120	1.033024728
121	1.028492706
122	1.025524821
123	1.020385808
124	1.015474524
125	1.013305371
126	1.009807635
127	1.00655422
128	1.001558984
129	0.9973308618
130	0.9922258681
131	0.990405035
132	0.9863797537
133	0.9826183305
134	0.9792875879
135	0.9760134408
136	0.9716566321
137	0.9698605719
138	0.9656324877
139	0.9635986956
140	0.9613544317
141	0.9585016613
142	0.9563742564
143	0.9506442609
144	0.9475696014
145	0.9448105546
146	0.9415726074
147	0.935657762
148	0.9315837016
149	0.9294205714
150	0.9245273518
151	0.922651184
152	0.9186231884
153	0.9159526413
154	0.9141877502
155	0.9102003849
156	0.9093801858
157	0.9058358457
158	0.9032726442
159	0.8990850681
160	0.8969920437
161	0.8954492383
162	0.8918121374
163	0.8904131363
164	0.8890787018
165	0.8854339866
166	0.8819495877
167	0.8783022197
168	0.8766459185
169	0.8744727765
170	0.871534237
171	0.8675099896
172	0.864201123
173	0.8611930042
174	0.8605721193
175	0.8579792058
176	0.8562192928
177	0.8548078776
178	0.8516381935
179	0.8477360593
180	0.8419887101
181	0.8390144387
182	0.8373347107
183	0.8334898773
184	0.8292636104
185	0.8272359542
186	0.8241948369
187	0.8209933358
188	0.8186949312
189	0.8163921739
190	0.8154530167
191	0.8126751126
192	0.8094629364
193	0.807299839
194	0.805744261
195	0.8034300162
196	0.8003494065
197	0.7989867328
198	0.7974875456
199	0.796220512
200	0.7940658376
201	0.7915712536
202	0.7902103346
203	0.7884366414
204	0.785202538
205	0.7838218408
206	0.7794024409
207	0.7763397434
208	0.7754900968
209	0.7744060847
210	0.7712068798
211	0.7702232715
212	0.7670363171
213	0.7664598005
214	0.7656029633
215	0.7632555179
216	0.7605717009
217	0.7581175903
218	0.7566052447
219	0.7539800381
220	0.7523977465
221	0.7498692766
222	0.7484307552
223	0.7470848651
224	0.7453944427
225	0.7421567478
226	0.7404844669
227	0.7398407515
228	0.7380163065
229	0.7369114616
230	0.7356289255
231	0.7336895784
232	0.7301666107
233	0.72902713
234	0.7261242427
235	0.724256487
236	0.7227936807
237	0.7204312733
238	0.7173836425
239	0.713992737
240	0.7111244216
241	0.7083399927
242	0.7072513682
243	0.7053894447
244	0.7033247702
245	0.7017534819
246	0.7004838623
247	0.6987285709
248	0.6966589978
249	0.6937752476
250	0.691877162
251	0.690424451
252	0.6891688444
253	0.6864414939
254	0.6840770048
255	0.6838651978
256	0.6821531832
257	0.6794726841
258	0.6779844888
259	0.676266031
260	0.6750675316
261	0.6721247183
262	0.6696299353
263	0.6672383329
264	0.666077418
265	0.6635307557
266	0.6624416268
267	0.6618797185
268	0.6603129669
269	0.6576867928
270	0.6561962752
271	0.6543535921
272	0.6520870905
273	0.6501345724
274	0.647461164
275	0.6454212309
276	0.6436574974
277	0.6410577391
278	0.6385839164
279	0.6365243087
280	0.6344589121
281	0.631661909
282	0.6289860598
283	0.628350926
284	0.6278591517
285	0.6266743825
286	0.6251859066
287	0.6241621598
288	0.6233160212
289	0.6218242611
290	0.6211824239
291	0.6207894232
292	0.6185097012
293	0.6163409174
294	0.6152928647
295	0.6132215146
296	0.6110038338
297	0.6088821626
298	0.6062348166
299	0.6058197841
